href,name,adress,phone,rate,rate_count,site,average_bill
https://yandex.ru/maps/org/yuridicheskaya_firma_gromov_legal/93489441608/,Юридическая фирма Gromov Legal,"ул. Горбунова, 2, стр. 3, Москва",+7 (495) 789-78-10,"4,3",6 оценок,null,null
https://yandex.ru/maps/org/yuridicheskaya_firma_yustpro/1108107226/,Юридическая фирма ЮстПро,"ул. Горбунова, 2, стр. 3, Москва",+7 (926) 559-56-19,"4,1",3 оценки,ustpro.ru,"сопровождение сделок, арбитраж, договорное право, взыскание долгов и убытков, восстановление утраченных документов, юридическое сопровождение бизнеса, бухгалтерское сопровождение бизнеса, налоговые дела, кадровое делопроизводство"
https://yandex.ru/maps/org/triton/1324945823/,Тритон,"ул. Горбунова, 2, стр. 3, Москва",+7 (495) 999-82-29,"4,3",7 оценок,null,"личный адвокат, военная служба, семейное право, наследственное право, трудовое право, жилищное право, споры с банками, страховыми и кредитными организациями, защита авторских прав, судебное установление фактов, сопровождение сделок, защита прав потребителей, возмещение вреда здоровью, земельное право и недвижимость, банкротство, авто право, гражданское право, экономические дела, представительство в суде, помощь в восстановлении документов"
https://yandex.ru/maps/org/yuriskon/207860275866/,Юрискон,"Верейская ул., 17, Москваэтаж 1, кабинет 105В",+7 (939) 103-40-05,null,30 отзывов,uriskon.com,"сопровождение сделок, арбитраж, договорное право, взыскание долгов и убытков, восстановление утраченных документов, юридическое сопровождение бизнеса, бухгалтерское сопровождение бизнеса, налоговые дела, кадровое делопроизводство, экономические дела, представительство в суде"
https://yandex.ru/maps/org/medvedev_i_partnyory/6066010391/,Медведев и партнёры,"ул. Горбунова, 2, стр. 3, Москва",+7 (903) 798-33-39,"4,2",1 отзыв,iadvokat24.ru,"сопровождение сделок, арбитраж, договорное право, взыскание долгов и убытков, юридическое сопровождение бизнеса, налоговые дела, кадровое делопроизводство"
https://yandex.ru/maps/org/yurist_bodrova_v_yu_/235541659573/,Юрист Бодрова В. Ю.,"Овражная ул., 47А, рабочий посёлок Новоивановское",+7 (916) 675-14-01,"4,8",19 оценок,advokat-bodrova.ru,внесение изменений в документы
https://yandex.ru/maps/org/za_pravo_pro/135355055278/,За Право pro,"пр. Загорского, 11, Москва",+7 (905) 542-91-62 (доб. +7(929)505-22-74),"3,9",3 оценки,null,"перерегистрация, регистрация ООО, внесение изменений в документы, регистрация ИП"
https://yandex.ru/maps/org/knopka/153462746064/,Кнопка,"ул. Нобеля, 7, Инновационный центр Сколково, Можайский район, Западный административный округ, Москва",8 (800) 333-78-26,"4,3",129 оценок,knopka.com,"ликвидация фирм, регистрация ООО, внесение изменений в документы, регистрация ИП, банкротство"
https://yandex.ru/maps/org/moskovskaya_kollegiya_advokatov_assambleya/134917883858/,Московская коллегия адвокатов Ассамблея,"Можайское ш., 2, Москва",+7 (903) 795-60-55,null,Ещё нет отзывов,mba-assembly.ru,null
https://yandex.ru/maps/org/advokat_yelantsev_yuriy_aleksandrovich/130424073656/,Адвокат Еланцев Юрий Александрович,"ул. Толбухина, 13, корп. 2, Москва• этаж 4",null,"4,2",1 отзыв,null,null
https://yandex.ru/maps/org/mka_gladkikh_murziyanova_i_partnery/95897573274/,"МКА Гладких, Мурзиянова и партнеры","ул. Горбунова, 2, стр. 3, МоскваГранд Сетунь Плаза, офис B200",+7 (495) 659-96-22,null,2 отзыва,g-m-p.ru,"внесение изменений в документы, регистрация АО, банкротство"
https://yandex.ru/maps/org/yuridicheskiye_uslugi/94261010497/,Юридические услуги,"Аминьевское ш., 6, Москваэтаж 3",+7 (985) 969-31-93,"4,3",4 оценки,www.jurist-golosov.ru,null
https://yandex.ru/maps/org/migrapro/21182229673/,МиграПро,"ул. Калинина, 8, рабочий посёлок Новоивановскоеэтаж 1",+7 (499) 325-70-72,"4,7",17 оценок,migra-pro.com,null
https://yandex.ru/maps/org/tsentr_intellektualnoy_sobstvennosti_skolkovo/196429806372/,Центр интеллектуальной собственности Сколково,"Луговая ул., 4, корп. 2, Инновационный центр Сколково, Можайский район, Западный административный округ, Москва",+7 (495) 956-00-33 (доб. 2405),"4,3",25 оценок,sklegal.ru,"регистрация НОУ, АНО, регистрация АО, перерегистрация, регистрация ООО, внесение изменений в документы, регистрация ИП, аккредитация иностранных представительств"
https://yandex.ru/maps/org/professional/199371514996/,Профессионал,"Верейская ул., 17, Москва",+7 (927) 524-18-47,"4,9",Ещё нет отзывов,professional-verejskaja-ulitsa.clients.site,"регистрация ООО, внесение изменений в документы, банкротство"
https://yandex.ru/maps/org/revers_dolg/55534291711/,Реверс Долг,"ул. Горбунова, 2, стр. 3, Москваэтаж 3, офис В-326",+7 (995) 791-77-87,"4,2",6 оценок,null,запрещено с животными
https://yandex.ru/maps/org/akb_bizness/70469403815/,АKB-Bizness,"ул. Горбунова, 2, стр. 3, Москваэтаж 8, офис 805",+7 (495) 927-67-13,"4,5",9 оценок,akb-bizness.ru,"семейное право, наследственное право, трудовое право, жилищное право, земельное право и недвижимость"
https://yandex.ru/maps/org/strategiya_zashchity_balov_i_partnery/141026076133/,Стратегия защиты - Балов и партнеры,"Верейская ул., 17, Москва",+7 (920) 139-35-93,null,1 отзыв,balovzakon.com,"сопровождение сделок, арбитраж, договорное право, взыскание долгов и убытков, восстановление утраченных документов, юридическое сопровождение бизнеса, бухгалтерское сопровождение бизнеса, налоговые дела, кадровое делопроизводство"
https://yandex.ru/maps/org/advokat_yakiro/127537486427/,Адвокат Якиро,"Верейская ул., 17, Москва",+7 (495) 005-78-69,"4,1",5 оценок,null,"регистрация НОУ, АНО, регистрация АО, перерегистрация, ликвидация фирм, регистрация ООО, внесение изменений в документы, регистрация ИП, банкротство, аккредитация иностранных представительств"
https://yandex.ru/maps/org/patentnoye_agentstvo_kalinichenko/19287132193/,Патентное агентство Калиниченко,"Большой бул., 42, стр. 1, Инновационный центр Сколково, Можайский район, Западный административный округ, Москва",+7 (985) 177-44-89,null,5 отзывов,patent-agency.com,null
https://yandex.ru/maps/org/iks_grupp_korporeyshn/112740168068/,Икс-Групп Корпорейшн,"ул. Горбунова, 2, Москва",+7 (495) 222-89-58,"4,0",8 оценок,x-gc.ru,"личный адвокат, споры с банками, страховыми и кредитными организациями, защита авторских прав, судебное установление фактов, сопровождение сделок, земельное право и недвижимость, банкротство, гражданское право"
https://yandex.ru/maps/org/yur_ostrov/97774183281/,Юр-остров,"ул. Багрицкого, 3, корп. 1, Москва",null,null,Ещё нет отзывов,null,null
https://yandex.ru/maps/org/gdda_i_partnery/130954742876/,Гдда и Партнеры,"ул. Горбунова, 2, стр. 3, Москва",+7 (495) 120-91-07,"4,2",Ещё нет отзывов,gdda-law.ru,null
https://yandex.ru/maps/org/garant_professionalov/36442317983/,Гарант профессионалов,"Дорогобужская ул., 14, стр. 40, Москва",null,"4,2",Ещё нет отзывов,null,null
https://yandex.ru/maps/org/advokat_sevostyanov_a_g_/5858590472/,Адвокат Севостьянов А. Г.,"Большая Очаковская ул., 32, Москваподъезд 1, этаж 1",+7 (906) 707-89-89,"4,3",13 оценок,sevostyanov.ru,разрешено со всеми животными
https://yandex.ru/maps/org/terminus_legis/199981586923/,Терминус Легис,"Трёхгорная ул., 4, посёлок Трёхгорка",+7 (925) 119-94-08,"4,3",6 оценок,null,разрешено со всеми животными
https://yandex.ru/maps/org/lazarev_i_partnery/230897853274/,Лазарев и Партнеры,"ул. Марии Поливановой, 9, МоскваБЦ, офис 7",+7 (965) 229-98-65,"4,9",54 оценки,lazarevandco.ru,"сопровождение сделок, арбитраж, договорное право, взыскание долгов и убытков, юридическое сопровождение бизнеса"
https://yandex.ru/maps/org/bukhgalter_rf/227072390323/,Бухгалтер.рф,"ул. Горбунова, 2, стр. 3, Москва",+7 (495) 149-00-49,"4,4",7 оценок,null,"перерегистрация, ликвидация фирм, регистрация ООО, внесение изменений в документы, регистрация ИП, банкротство"
https://yandex.ru/maps/org/doveriye/142191088847/,Доверие,"Очаковское ш., 5, корп. 1, Москваэтаж 2, офис 520",+7 (924) 456-69-65,"4,1",3 оценки,mrqz.me,разрешено только с собаками
https://yandex.ru/maps/org/advokaty/35694662622/,Адвокаты,"Можайское ш., 33, Москва",null,null,1 отзыв,null,null
https://yandex.ru/maps/org/khan/27837271856/,Хан,"ул. Горбунова, 2, стр. 3, Москвакабинет 209А",+7 (499) 959-10-07,null,Ещё нет отзывов,han0107.ru,"СБП, оплата картой"
https://yandex.ru/maps/org/standart/2172788596/,Стандарт,"ул. Горбунова, 2, стр. 3, Москва",+7 (495) 960-50-14,"4,2",Ещё нет отзывов,аудитцентрстандарт.рф,null
https://yandex.ru/maps/org/zhigachyov_i_partnyory/1085982269/,Жигачёв и партнёры,"Верейская ул., 17, Москваофис 617, этаж 6",+7 (495) 644-32-05,"4,5",1 отзыв,www.z-c.ru,null
https://yandex.ru/maps/org/algoritm/1128077564/,Алгоритм,"ул. Горбунова, 2, стр. 3, Москва",+7 (495) 640-30-77,"4,2",Ещё нет отзывов,null,null
https://yandex.ru/maps/org/ibis/19249443866/,Ибис,"ул. Генерала Дорохова, 6, стр. 32, Москва",+7 (499) 499-07-49,"4,4",19 оценок,www.ib-is.ru,"защита авторских прав, сопровождение сделок"
https://yandex.ru/maps/org/sezara/10528095822/,Sezara,"Верейская ул., 29, стр. 134, Москва",+7 (901) 400-57-27,"4,9",Ещё нет отзывов,null,"сопровождение сделок, арбитраж, договорное право, взыскание долгов и убытков, восстановление утраченных документов, юридическое сопровождение бизнеса, налоговые дела"
https://yandex.ru/maps/org/tsentr_pravovoy_pomoshchi/159893339617/,Центр правовой помощи,"Матвеевская ул., 3, корп. 1, Москва",+7 (900) 243-40-93,"4,8",30 оценок,null,разрешено только с собаками
https://yandex.ru/maps/org/yuridicheskiy_tsentr/42081902161/,Юридический центр,"ул. Марии Поливановой, 9, Москваподъезд 1, этаж 1, офис 26",+7 (901) 511-67-12,"4,3",11 оценок,null,"регистрация НОУ, АНО, регистрация АО, перерегистрация, ликвидация фирм, регистрация ООО, внесение изменений в документы, регистрация ИП, банкротство"
https://yandex.ru/maps/org/vash_advokat/228775973557/,Ваш адвокат,"Можайское ш., 2, Москва",+7 (903) 795-60-55,"4,2",Ещё нет отзывов,null,null
https://yandex.ru/maps/org/torgovy_kompleks_tsentralny/1321288418/,Торговый комплекс Центральный,"Верейская ул., 29, стр. 33, Москва",+7 (495) 580-36-80,"4,1",3 оценки,null,null
https://yandex.ru/maps/org/byuro_perevodov/156199087875/,Бюро Переводов,"Амбулаторная ул., 146, п. г. т. Новоивановское",+7 (903) 356-34-24,"4,5",21 оценка,perevodtaush.ru,null
https://yandex.ru/maps/org/femida/1667841891/,Фемида,"Кутузовская ул., 2, микрорайон Новая Трёхгорка, Одинцово",+7 (903) 719-88-85,"3,7",3 оценки,null,null
https://yandex.ru/maps/org/infiniti_grupp/167344700768/,Инфинити Групп,"ул. Горбунова, 2, Москва",8 (800) 444-05-05,"4,2",2 отзыва,offshore4you.com,"предоплата, постоплата, наличными, оплата картой, электронными деньгами, банковским переводом, рассрочка, безналичная, онлайн, СБП"
https://yandex.ru/maps/org/informatsiya_i_pravo/1099688829/,Информация и Право,"Воскресенская ул., 2, Москва",+7 (495) 775-55-40,"4,0",9 оценок,null,null
https://yandex.ru/maps/org/viktor_dydylev_i_partnyory/6527629426/,Виктор Дыдылев и партнёры,"Трёхгорная ул., 4, посёлок Трёхгорка",+7 (952) 967-00-06,"5,0",10 отзывов,viktordydylev.ru,"сопровождение сделок, арбитраж, взыскание долгов и убытков, юридическое сопровождение бизнеса, представительство в суде"
https://yandex.ru/maps/org/gruppa_kompaniy_verdikt/90832774616/,Группа компаний Вердикт,"Верейская ул., 29, стр. 33, Москва",+7 (905) 512-32-23,"4,9",Ещё нет отзывов,null,null
https://yandex.ru/maps/org/advokatskiy_kabinet/1006419974/,Адвокатский кабинет,"просп. Революции, 21/67, село Немчиновка",+7 (926) 520-85-32,"4,2",Ещё нет отзывов,null,"личный адвокат, семейное право, наследственное право, жилищное право, судебное установление фактов, сопровождение сделок, защита прав потребителей, возмещение вреда здоровью, земельное право и недвижимость"
https://yandex.ru/maps/org/leks_inkvayr/20946634909/,Лекс Инквайр,"Рублёвское ш., 11, корп. 2, Москваэтаж цокольный",+7 (965) 299-40-01,"4,3",9 оценок,null,"личный адвокат, семейное право, наследственное право, трудовое право, жилищное право, споры с банками, страховыми и кредитными организациями, судебное установление фактов, сопровождение сделок, защита прав потребителей, уголовный адвокат, авто право"
https://yandex.ru/maps/org/yuridicheskiye_uslugi/66778929143/,Юридические услуги,"Колхозная ул., 120Б, д. Мамоново",+7 (909) 650-39-99,null,Ещё нет отзывов,null,null
https://yandex.ru/maps/org/kollegiya_advokatov/108191681688/,Коллегия адвокатов,"Очаковское ш., 5, корп. 1, Москва",+7 (909) 546-93-50,null,Ещё нет отзывов,kollegija-advokatov-k51.clients.site,"представительство в суде, экономические дела"
https://yandex.ru/maps/org/financial_chain_corporation/144155959449/,Financial Chain Corporation,"ул. Горбунова, 2, стр. 3, Москва",+7 (495) 269-02-51,"4,2",Ещё нет отзывов,f-chain.com,null
https://yandex.ru/maps/org/advokatskiy_kabinet_komarovoy_l_p_/59593762377/,Адвокатский кабинет Комаровой Л. П.,"Сколковская ул., 3А, Одинцово",+7 (977) 768-53-02,"4,2",2 отзыва,vk.link,"скидки на услуги льготным категориям, наличными, банковским переводом, онлайн, QR-код"
https://yandex.ru/maps/org/hr_garant/1104632734/,HR Гарант,"ул. Ватутина, 11, Москваэтаж 1",+7 (495) 118-33-83,"4,5",68 оценок,hrgarant.ru,кадровое делопроизводство
https://yandex.ru/maps/org/konsaltingovaya_gruppa/1387820065/,Консалтинговая группа,"Рублёвское ш., 11, корп. 2, Москва",+7 (495) 799-68-66,"5,0",Ещё нет отзывов,null,"сопровождение сделок, договорное право, юридическое сопровождение бизнеса, бухгалтерское сопровождение бизнеса, кадровое делопроизводство"
https://yandex.ru/maps/org/frileks/181864125496/,Фрилекс,"ул. Горбунова, 2, стр. 3, Москва",+7 (495) 797-17-46,null,Ещё нет отзывов,freelex.ru,"сопровождение сделок, арбитраж, договорное право, взыскание долгов и убытков, юридическое сопровождение бизнеса"
https://yandex.ru/maps/org/advokat_region/96561814504/,Адвокат-Регион,"Западная ул., 85, рабочий посёлок Новоивановское",+7 (495) 798-44-64,null,Ещё нет отзывов,advokatregionburo.ru,разрешено со всеми животными
https://yandex.ru/maps/org/global_konsalting_grupp/189708229803/,Глобал Консалтинг Групп,"Хорошёвский пр., 14, село Немчиновкаофис 431",8 (800) 775-01-92,null,Ещё нет отзывов,global-cg.ru,"восстановление утраченных документов, юридическое сопровождение бизнеса, бухгалтерское сопровождение бизнеса"
https://yandex.ru/maps/org/advokat_ismagilov_a_/162708437102/,Адвокат Исмагилов А.,"ул. Агрохимиков, 6, п. г. т. Новоивановское",+7 (927) 305-00-91,null,Ещё нет отзывов,null,null
https://yandex.ru/maps/org/advokat_kurennoy_aleksey_aleksandrovich/200661115105/,Адвокат Куренной Алексей Александрович,"Очаковское ш., 5, корп. 5, Москва",+7 (926) 434-54-11,null,Ещё нет отзывов,куренной.москва,null
https://yandex.ru/maps/org/umk/8265240353/,Умк,"Амбулаторная ул., 51, рабочий посёлок Новоивановское",+7 (999) 830-19-49,"5,0",Ещё нет отзывов,null,null
https://yandex.ru/maps/org/tsentroviza/100701085890/,ЦентроВиза,"Очаковское ш., 34, Москва",+7 (967) 600-45-15,null,Ещё нет отзывов,tsentroviza.clients.site,null
https://yandex.ru/maps/org/tesey/29999749943/,Тесей,"ул. Ивана Франко, 4, корп. 4, Москва",+7 (499) 653-53-04,"4,5",Ещё нет отзывов,null,null
https://yandex.ru/maps/org/avto_import/172286901281/,Авто Импорт,"ул. Мичуринский Проспект, Олимпийская Деревня, 1, корп. 4, Москва",+7 (932) 307-70-26,"4,4",7 оценок,autoimport26.ru,"наличными, оплата картой, банковским переводом, безналичная, онлайн"
https://yandex.ru/maps/org/kdz_partners/241080730296/,KDZ&partners,"ул. Горбунова, 2, стр. 3, Москва",null,null,Ещё нет отзывов,null,null
https://yandex.ru/maps/org/taush/167820810069/,Тауш,"Славянский бул., 5, корп. 1, Москва",+7 (903) 356-34-24,null,3 отзыва,perevodtaush.ru,null
https://yandex.ru/maps/org/linkey/1098009670/,Линкей,"ул. Коцюбинского, 4, Москва",+7 (495) 789-35-54,"4,7",31 оценка,www.audit-linkey.ru,"наложенным платежом, банковским переводом, электронными деньгами, безналичная, наличными"
https://yandex.ru/maps/org/yurportal/163033130435/,YurPortal,"Кутузовский просп., 65, Москва",+7 (499) 455-03-40,"4,3",Ещё нет отзывов,yurportal.info,"личный адвокат, военная служба, семейное право, наследственное право, трудовое право, жилищное право, споры с банками, страховыми и кредитными организациями, защита авторских прав, судебное установление фактов, сопровождение сделок, защита прав потребителей, возмещение вреда здоровью, земельное право и недвижимость, уголовный адвокат, банкротство"
https://yandex.ru/maps/org/antiprikaz/203689771882/,Антиприказ,"ул. Генерала Дорохова, 6, стр. 32, Москва",+7 (968) 590-07-36,null,Ещё нет отзывов,null,null
https://yandex.ru/maps/org/organizatsiya_nezavisimoy_pomoshchi_obshchestvu/1048202835/,Организация Независимой Помощи Обществу,"Очаковское ш., 34, Москва",+7 (926) 384-48-38,"5,0",Ещё нет отзывов,syses.ru,null
https://yandex.ru/maps/org/vektor_praym/180679925221/,Вектор Прайм,"Чонгарский бул., 4, корп. 2, Москва",+7 (495) 165-00-01,"5,0",221 оценка,mpcvector.ru,разрешено со всеми животными
https://yandex.ru/maps/org/advokat_kozakov_a_v_/9401961703/,Адвокат Козаков А. В.,"Варшавское ш., 42, Москва",+7 (910) 362-07-07,"5,0",31 оценка,null,запрещено с животными
https://yandex.ru/maps/org/biznes_dop/195074893729/,Бизнес Доп,"Варшавское ш., 42, Москва",+7 (495) 212-06-36,"5,0",62 оценки,biz-dop.ru,запрещено с животными
https://yandex.ru/maps/org/sv_pravo/110249644055/,SV-Pravo,"Электролитный пр., 10, Москваэтаж 4, офис 45",+7 (925) 595-28-78,"5,0",44 оценки,www.sv-pravo.ru,"предоплата, постоплата, наличными, банковским переводом, рассрочка, безналичная, онлайн, QR-код"
https://yandex.ru/maps/org/proventus/229279688565/,Провентус,"Сивашская ул., 7, Москваэтаж 1, офис 2",+7 (963) 782-11-95,"5,0",32 оценки,nkproventus.ru,разрешено со всеми животными
https://yandex.ru/maps/org/zemelny_yurist/125198704934/,Земельный юрист,"Азовская ул., 6, корп. 3, Москва",+7 (967) 555-74-92,"5,0",232 оценки,zemelniy-urist.ru,разрешено со всеми животными
https://yandex.ru/maps/org/avisto/23883751714/,Ависто,"Варшавское ш., 42, стр. 7, Москваэтаж 3, офис 311",+7 (495) 775-12-40,"4,4",18 оценок,www.avisto.ru,запрещено с животными
https://yandex.ru/maps/org/legal_choice/26996743028/,Legal choice,"Варшавское ш., 42, Москва",+7 (495) 150-44-21,"4,9",26 оценок,legal-choice.ru,"сопровождение сделок, арбитраж, договорное право, взыскание долгов и убытков, юридическое сопровождение бизнеса, бухгалтерское сопровождение бизнеса, налоговые дела, представительство в суде"
https://yandex.ru/maps/org/kollegiya_advokatov_pravovaya_opeka/1355444111/,Коллегия адвокатов Правовая опека,"Электролитный пр., 9, корп. 1, Москва",+7 (903) 686-80-80,"4,3",Ещё нет отзывов,ak2mgka.ru,null
https://yandex.ru/maps/org/avisto/116057003120/,Ависто,"Электролитный пр., 9, корп. 1, Москва",+7 (495) 135-00-16,null,2 отзыва,www.avisto.ru,запрещено с животными
https://yandex.ru/maps/org/yuridicheskaya_firma_inyusta/24569442321/,Юридическая фирма Инюста,"Варшавское ш., 46, Москва",+7 (925) 856-08-84,"4,3",5 оценок,городской-суд.рф,"сопровождение сделок, арбитраж, договорное право, взыскание долгов и убытков, юридическое сопровождение бизнеса, налоговые дела"
https://yandex.ru/maps/org/semya/1273478485/,Семья,"Артековская ул., 1, Москва",+7 (977) 916-00-60,"4,3",20 оценок,lawyers-family.clients.site,запрещено с животными
https://yandex.ru/maps/org/advokatskoye_byuro/217798982864/,Адвокатское бюро,"Азовская ул., 24, корп. 2, Москва",+7 (499) 372-00-53,"4,5",21 оценка,amanukhin.ru,"регистрация НОУ, АНО, регистрация АО, перерегистрация, ликвидация фирм, регистрация ООО, внесение изменений в документы, регистрация ИП, банкротство, аккредитация иностранных представительств"
https://yandex.ru/maps/org/laynap/1238038132/,ЛайнАп,"Электролитный пр., 1, корп. 3, Москваэтаж 3",+7 (495) 363-62-26,"4,2",5 оценок,null,null
https://yandex.ru/maps/org/yuridicheskaya_kompaniya_verdikt/179331278579/,Юридическая Компания Вердикт,"Болотниковская ул., 36, корп. 1, Москваподъезд 1, этаж 1, офис 4",+7 (903) 131-18-66,"5,0",51 оценка,null,разрешено со всеми животными
https://yandex.ru/maps/org/tvoy_adres/219023055237/,Твой Адрес,"Нагатинская ул., 2, Москва",+7 (926) 448-68-48,"4,5",19 оценок,www.ukadress.ru,запрещено с животными
https://yandex.ru/maps/org/kryukov_i_partnery/53988831994/,Крюков и Партнеры,"ул. Каховка, 25, Москва",+7 (495) 517-35-47,"5,0",55 оценок,krykov.ru,"регистрация НОУ, АНО, регистрация АО, перерегистрация, ликвидация фирм, регистрация ООО, внесение изменений в документы, регистрация ИП, банкротство, аккредитация иностранных представительств"
https://yandex.ru/maps/org/yuridicheskaya_kompaniya_rosyurist/1270893014/,Юридическая компания Росюрист,"Варшавское ш., 42, Москва",+7 (495) 222-90-79,"3,7",9 оценок,null,null
https://yandex.ru/maps/org/arbitrazhny_upravlyayushchiy_marupov_nikolay_nikolayevich/53174612480/,Арбитражный управляющий Марупов Николай Николаевич,"Нагатинская ул., 2, Москва",+7 (929) 639-11-45,"4,8",25 оценок,marupov.pro,разрешено только с кошками
